name,url
Amdocs,amdocs
Arcadis,arcadis
Boston Scientific,bostonscientific
Citi,citi
Coca-Cola Europacific Partners,ccep
Corteva,corteva
DSM,dsm
Dexcom,dexcom
Dolby,dolby
Eaton,eaton
Ericsson,ericsson
Estée Lauder Companies,https://elcompanies.eightfold.ai/api/pcsx/search?domain=elcompanies.com&query=&location=&start=0&sort_by=timestamp
Ford,ford
Fortive,fortive
Government of Puerto Rico,puertoricogov
Grupo Bimbo,grupobimbo
Hasbro,hasbro
Kraft Heinz,kraftheinz
Lam Research,lamresearch
MercadoLibre,mercadolibre
Micron,micron
Microsoft,microsoft
Modern Technology Solutions,mtsi-va
Morgan Stanley,morganstanley
NTT Data,nttdata
Northrop Grumman,ngc
Nvidia,nvidia
PayPal,paypal
Ptc,ptc
Qualcomm,qualcomm
Ralliant,ralliant
Starbucks,starbucks
Tailored Brands,tailoredbrands
TriNet,trinet
Trimble,trimble
Twilio,twilio
UKG,ukg
Vialto Partners,vialto
Vodafone,vodafone
Whirlpool,whirlpool
appliedmaterials,appliedmaterials
caci,caci
kering,kering
slb,slb
softtek,softtek
telekom-growthhub,https://telekom-growthhub.eightfold.ai/api/pcsx/search?domain=telekom-growthhub.com&query=&location=&start=0&sort_by=timestamp
