name,url
Amdocs,amdocs
Arcadis,arcadis
Boston Scientific,bostonscientific
Coca-Cola Europacific Partners,ccep
Citi,citi
Corteva,corteva
Dexcom,dexcom
Dolby,dolby
DSM,dsm
Eaton,eaton
Ericsson,ericsson
Ford,ford
Fortive,fortive
Grupo Bimbo,grupobimbo
Hasbro,hasbro
Kraft Heinz,kraftheinz
Lam Research,lamresearch
MercadoLibre,mercadolibre
Micron,micron
Microsoft,microsoft
Morgan Stanley,morganstanley
Modern Technology Solutions,mtsi-va
Northrop Grumman,ngc
NTT Data,nttdata
Nvidia,nvidia
PayPal,paypal
Ptc,ptc
Government of Puerto Rico,puertoricogov
Qualcomm,qualcomm
Ralliant,ralliant
Starbucks,starbucks
Tailored Brands,tailoredbrands
Trimble,trimble
TriNet,trinet
Twilio,twilio
UKG,ukg
Vialto Partners,vialto
Vodafone,vodafone
Whirlpool,whirlpool
